:START_ID|:END_ID|roles:string[]|:TYPE
nm0504897|tt0118694|Chow Mo-wan|ACTED_IN
nm0001041|tt0118694|Su Li-zhen - Mrs. Chan|ACTED_IN
nm0803310|tt0118694|Ah Ping|ACTED_IN
nm0156432|tt0118694|Man living in Mr. Koo's apartment|ACTED_IN
nm0000154|tt0120630|Rocky|ACTED_IN
nm0768018|tt0120630|Ginger|ACTED_IN
nm0200057|tt0120630|Fetcher|ACTED_IN
nm0272521|tt0120630|Mac|ACTED_IN
nm0000161|tt0120679|Frida Kahlo|ACTED_IN
nm0000547|tt0120679|Diego Rivera|ACTED_IN
nm0001691|tt0120679|Leon Trotsky|ACTED_IN
nm0535502|tt0120679|Cristina Kahlo|ACTED_IN
nm0000704|tt0120737|Frodo|ACTED_IN
nm0005212|tt0120737|Gandalf|ACTED_IN
nm0089217|tt0120737|Legolas|ACTED_IN
nm0000293|tt0120737|Boromir|ACTED_IN
nm0001772|tt0120903|Professor Charles Xavier|ACTED_IN
nm0413168|tt0120903|Logan;Wolverine|ACTED_IN
nm0005212|tt0120903|Eric Lensherr;Magneto|ACTED_IN
nm0000463|tt0120903|Jean Grey|ACTED_IN
nm0005450|tt0120917|Kuzco|ACTED_IN
nm0000422|tt0120917|Pacha|ACTED_IN
nm0457755|tt0120917|Yzma|ACTED_IN
nm0911320|tt0120917|Kronk|ACTED_IN
nm0000136|tt0121164|Victor Van Dort|ACTED_IN
nm0000307|tt0121164|Corpse Bride|ACTED_IN
nm0001833|tt0121164|Victoria Everglot|ACTED_IN
nm0001808|tt0121164|Nell Van Dort;Hildegarde|ACTED_IN
nm0159789|tt0121766|Anakin Skywalker|ACTED_IN
nm0000204|tt0121766|Padmé|ACTED_IN
nm0000191|tt0121766|Obi-Wan Kenobi|ACTED_IN
nm0000168|tt0121766|Mace Windu|ACTED_IN
nm0000196|tt0126029|Shrek|ACTED_IN
nm0000552|tt0126029|Donkey|ACTED_IN
nm0000139|tt0126029|Princess Fiona|ACTED_IN
nm0001475|tt0126029|Lord Farquaad|ACTED_IN
nm0330687|tt0133240|Jim Hawkins|ACTED_IN
nm0000668|tt0133240|Captain Amelia|ACTED_IN
nm0001737|tt0133240|B.E.N.|ACTED_IN
nm0001975|tt0133240|Mr. Arrow|ACTED_IN
nm0593664|tt0134847|Carolyn Fry|ACTED_IN
nm0369513|tt0134847|William J. Johns|ACTED_IN
nm0004874|tt0134847|Richard B. Riddick|ACTED_IN
nm0202966|tt0134847|Abu 'Imam' al-Walid|ACTED_IN
nm0000243|tt0139654|Alonzo|ACTED_IN
nm0000160|tt0139654|Jake|ACTED_IN
nm0001277|tt0139654|Roger|ACTED_IN
nm0000297|tt0139654|Stan Gursky|ACTED_IN
nm0000288|tt0144084|Patrick Bateman|ACTED_IN
nm0857620|tt0144084|Timothy Bryce|ACTED_IN
nm0524197|tt0144084|Craig McDermott|ACTED_IN
nm0756083|tt0144084|David Van Patten|ACTED_IN
nm0001497|tt0145487|Spider-Man;Peter Parker|ACTED_IN
nm0000379|tt0145487|Mary Jane Watson|ACTED_IN
nm0000353|tt0145487|Green Goblin;Norman Osborn|ACTED_IN
nm0290556|tt0145487|Harry Osborn|ACTED_IN
nm0000126|tt0146309|Kenny O'Donnell|ACTED_IN
nm0339304|tt0146309|John F. Kennedy|ACTED_IN
nm0238057|tt0146309|U-2 Pilot|ACTED_IN
nm0177020|tt0146309|Mark O'Donnell|ACTED_IN
nm0000131|tt0146882|Rob Gordon|ACTED_IN
nm0005013|tt0146882|Laura|ACTED_IN
nm0521974|tt0146882|Dick|ACTED_IN
nm0085312|tt0146882|Barry Judd|ACTED_IN
nm0000179|tt0159365|Inman|ACTED_IN
nm0000173|tt0159365|Ada Monroe|ACTED_IN
nm0000250|tt0159365|Ruby Thewes|ACTED_IN
nm0040586|tt0159365|Maddy|ACTED_IN
nm0000158|tt0162222|Chuck Noland|ACTED_IN
nm0000166|tt0162222|Kelly Frears|ACTED_IN
nm0584052|tt0162222|Ramon|ACTED_IN
nm0925096|tt0162222|Bettina Peterson|ACTED_IN
nm0000114|tt0162346|Seymour|ACTED_IN
nm0000301|tt0162346|Enid|ACTED_IN
nm0424060|tt0162346|Rebecca|ACTED_IN
nm0000605|tt0162346|Josh|ACTED_IN
nm0000354|tt0166813|Spirit|ACTED_IN
nm0000342|tt0166813|The Colonel|ACTED_IN
nm0836070|tt0166813|Little Creek|ACTED_IN
nm0076718|tt0166813|Sgt. Adams|ACTED_IN
nm0915208|tt0166924|Betty;Diane Selwyn|ACTED_IN
nm0005009|tt0166924|Rita;Camilla Rhodes|ACTED_IN
nm0857620|tt0166924|Adam|ACTED_IN
nm0060931|tt0166924|Irene|ACTED_IN
nm0000704|tt0167260|Frodo|ACTED_IN
nm0001557|tt0167260|Aragorn|ACTED_IN
nm0005212|tt0167260|Gandalf|ACTED_IN
nm0089217|tt0167260|Legolas|ACTED_IN
nm0000704|tt0167261|Frodo|ACTED_IN
nm0005212|tt0167261|Gandalf|ACTED_IN
nm0001557|tt0167261|Aragorn|ACTED_IN
nm0089217|tt0167261|Legolas|ACTED_IN
nm0001951|tt0168629|Selma Jezkova|ACTED_IN
nm0000366|tt0168629|Kathy|ACTED_IN
nm0001556|tt0168629|Bill Houston|ACTED_IN
nm0001780|tt0168629|Jeff|ACTED_IN
nm0451148|tt0169102|Bhuvan|ACTED_IN
nm0944834|tt0169102|Bhura|ACTED_IN
nm0961737|tt0169102|Gauri|ACTED_IN
nm0791226|tt0169102|Elizabeth Russell|ACTED_IN
nm0000128|tt0172495|Maximus|ACTED_IN
nm0001618|tt0172495|Commodus|ACTED_IN
nm0001567|tt0172495|Lucilla|ACTED_IN
nm0001657|tt0172495|Proximo|ACTED_IN
nm0001691|tt0180073|The Marquis de Sade|ACTED_IN
