:START_ID|:END_ID|:TYPE
nm0939182|tt0118694|DIRECTED
nm0520485|tt0120630|DIRECTED
nm0661910|tt0120630|DIRECTED
nm0853380|tt0120679|DIRECTED
nm0001392|tt0120737|DIRECTED
nm0001741|tt0120903|DIRECTED
nm0227540|tt0120917|DIRECTED
nm0000318|tt0121164|DIRECTED
nm0425843|tt0121164|DIRECTED
nm0000184|tt0121766|DIRECTED
nm0011470|tt0126029|DIRECTED
nm0421776|tt0126029|DIRECTED
nm0166256|tt0133240|DIRECTED
nm0615780|tt0133240|DIRECTED
nm0878638|tt0134847|DIRECTED
nm0298807|tt0139654|DIRECTED
nm0366004|tt0144084|DIRECTED
nm0000600|tt0145487|DIRECTED
nm0002044|tt0146309|DIRECTED
nm0001241|tt0146882|DIRECTED
nm0005237|tt0159365|DIRECTED
nm0000709|tt0162222|DIRECTED
nm0959062|tt0162346|DIRECTED
nm0038432|tt0166813|DIRECTED
nm0177170|tt0166813|DIRECTED
nm0000186|tt0166924|DIRECTED
nm0001392|tt0167260|DIRECTED
nm0001392|tt0167261|DIRECTED
nm0001885|tt0168629|DIRECTED
nm0332950|tt0169102|DIRECTED
nm0000631|tt0172495|DIRECTED
nm0442241|tt0180073|DIRECTED
nm0004716|tt0180093|DIRECTED
nm0001814|tt0181536|DIRECTED
nm0000229|tt0181689|DIRECTED
nm0001752|tt0181865|DIRECTED
nm0001081|tt0181875|DIRECTED
nm0001708|tt0183649|DIRECTED
nm0000436|tt0185014|DIRECTED
nm0387706|tt0186151|DIRECTED
nm0000386|tt0187393|DIRECTED
nm0361482|tt0188350|DIRECTED
nm0000487|tt0190332|DIRECTED
nm0001054|tt0190590|DIRECTED
nm0001053|tt0190590|DIRECTED
nm0836430|tt0192263|DIRECTED
nm0001752|tt0195685|DIRECTED
nm0230032|tt0198781|DIRECTED
nm0798899|tt0198781|DIRECTED
nm0881279|tt0198781|DIRECTED
nm0002044|tt0200465|DIRECTED
nm0525303|tt0203009|DIRECTED
nm0863387|tt0203019|DIRECTED
nm0322242|tt0203119|DIRECTED
nm0026862|tt0206036|DIRECTED
nm0004838|tt0206036|DIRECTED
nm0000162|tt0206036|DIRECTED
nm0190859|tt0206634|DIRECTED
nm0005363|tt0208092|DIRECTED
nm0634240|tt0209144|DIRECTED
nm0363553|tt0210628|DIRECTED
nm0945026|tt0210945|DIRECTED
nm0000466|tt0211915|DIRECTED
nm0005366|tt0212338|DIRECTED
nm0000229|tt0212720|DIRECTED
nm0393661|tt0213565|DIRECTED
nm0868153|tt0213847|DIRECTED
nm0292419|tt0214698|DIRECTED
nm0000269|tt0215750|DIRECTED
nm0000217|tt0217505|DIRECTED
nm0796117|tt0217869|DIRECTED
nm0934578|tt0218127|DIRECTED
nm0001239|tt0218505|DIRECTED
nm0001302|tt0218839|DIRECTED
nm0611683|tt0219224|DIRECTED
nm0533564|tt0220608|DIRECTED
nm0001130|tt0221027|DIRECTED
