person_id:ID|name:string|birthYear:int|deathYear:int|:LABEL
nm0000002|Lauren Bacall|1924|2014|Person
nm0000005|Ingmar Bergman|1918|2007|Person
nm0000032|Charlton Heston|1923|2008|Person
nm0000056|Paul Newman|1925|2008|Person
nm0000090|Armin Mueller-Stahl|1930||Person
nm0000092|John Cleese|1939||Person
nm0000093|Brad Pitt|1963||Person
nm0000095|Woody Allen|1935||Person
nm0000096|Gillian Anderson|1968||Person
nm0000098|Jennifer Aniston|1969||Person
nm0000099|Patricia Arquette|1968||Person
nm0000100|Rowan Atkinson|1955||Person
nm0000102|Kevin Bacon|1958||Person
nm0000104|Antonio Banderas|1960||Person
nm0000106|Drew Barrymore|1975||Person
nm0000107|Kim Basinger|1953||Person
nm0000108|Luc Besson|1959||Person
nm0000110|Kenneth Branagh|1960||Person
nm0000111|Matthew Broderick|1962||Person
nm0000112|Pierce Brosnan|1953||Person
nm0000113|Sandra Bullock|1964||Person
nm0000114|Steve Buscemi|1957||Person
nm0000115|Nicolas Cage|1964||Person
nm0000116|James Cameron|1954||Person
nm0000117|Neve Campbell|1973||Person
nm0000119|Tia Carrere|1967||Person
nm0000120|Jim Carrey|1962||Person
nm0000123|George Clooney|1961||Person
nm0000124|Jennifer Connelly|1970||Person
nm0000125|Sean Connery|1930||Person
nm0000126|Kevin Costner|1955||Person
nm0000128|Russell Crowe|1964||Person
nm0000129|Tom Cruise|1962||Person
nm0000130|Jamie Lee Curtis|1958||Person
nm0000131|John Cusack|1966||Person
nm0000132|Claire Danes|1979||Person
nm0000134|Robert De Niro|1943||Person
nm0000136|Johnny Depp|1963||Person
nm0000138|Leonardo DiCaprio|1974||Person
nm0000139|Cameron Diaz|1972||Person
nm0000140|Michael Douglas|1944||Person
nm0000142|Clint Eastwood|1930||Person
nm0000144|Cary Elwes|1962||Person
nm0000146|Ralph Fiennes|1962||Person
nm0000147|Colin Firth|1960||Person
nm0000148|Harrison Ford|1942||Person
nm0000149|Jodie Foster|1962||Person
nm0000151|Morgan Freeman|1937||Person
nm0000152|Richard Gere|1949||Person
nm0000154|Mel Gibson|1956||Person
nm0000157|Linda Hamilton|1956||Person
nm0000158|Tom Hanks|1956||Person
nm0000159|Teri Hatcher|1964||Person
nm0000160|Ethan Hawke|1970||Person
nm0000161|Salma Hayek|1966||Person
nm0000162|Anne Heche|1969||Person
nm0000163|Dustin Hoffman|1937||Person
nm0000164|Anthony Hopkins|1937||Person
nm0000165|Ron Howard|1954||Person
nm0000166|Helen Hunt|1963||Person
nm0000168|Samuel L. Jackson|1948||Person
nm0000169|Tommy Lee Jones|1946||Person
nm0000172|Harvey Keitel|1939||Person
nm0000173|Nicole Kidman|1967||Person
nm0000174|Val Kilmer|1959||Person
nm0000175|Stephen King|1947||Person
nm0000178|Diane Lane|1965||Person
nm0000179|Jude Law|1972||Person
nm0000184|George Lucas|1944||Person
nm0000186|David Lynch|1946||Person
nm0000188|Steve Martin|1945||Person
