:START_ID|:END_ID|:TYPE
nm0819862|tt0120630|PRODUCED
nm0761744|tt0120737|PRODUCED
nm0651614|tt0120737|PRODUCED
nm0795682|tt0120903|PRODUCED
nm0003515|tt0120903|PRODUCED
nm0564768|tt0121766|PRODUCED
nm0257259|tt0134847|PRODUCED
nm0628352|tt0139654|PRODUCED
nm0798711|tt0139654|PRODUCED
nm0696299|tt0144084|PRODUCED
nm0357018|tt0144084|PRODUCED
nm0360065|tt0144084|PRODUCED
nm0957205|tt0145487|PRODUCED
nm0117290|tt0145487|PRODUCED
nm0077000|tt0146309|PRODUCED
nm0021977|tt0146309|PRODUCED
nm0079677|tt0146882|PRODUCED
nm0947695|tt0159365|PRODUCED
nm0074100|tt0159365|PRODUCED
nm0394564|tt0159365|PRODUCED
nm0001628|tt0159365|PRODUCED
nm0710759|tt0162222|PRODUCED
nm0823330|tt0162222|PRODUCED
nm0355147|tt0162346|PRODUCED
nm0000518|tt0162346|PRODUCED
nm0809833|tt0162346|PRODUCED
nm0814969|tt0166813|PRODUCED
nm0005076|tt0166813|PRODUCED
nm0842156|tt0166924|PRODUCED
nm0249050|tt0166924|PRODUCED
nm0469813|tt0166924|PRODUCED
nm0688789|tt0166924|PRODUCED
nm0764963|tt0166924|PRODUCED
nm0651614|tt0167260|PRODUCED
nm8662749|tt0167260|PRODUCED
nm8662749|tt0167261|PRODUCED
nm0934668|tt0168629|PRODUCED
nm0926824|tt0172495|PRODUCED
nm0527322|tt0172495|PRODUCED
nm0153892|tt0180073|PRODUCED
nm0442239|tt0180073|PRODUCED
nm0917059|tt0180073|PRODUCED
nm0914615|tt0180093|PRODUCED
nm0922279|tt0180093|PRODUCED
nm0548257|tt0181536|PRODUCED
nm0866104|tt0181536|PRODUCED
nm0000957|tt0181689|PRODUCED
nm0193268|tt0181689|PRODUCED
nm0001880|tt0181865|PRODUCED
nm0081046|tt0181865|PRODUCED
nm0380980|tt0181865|PRODUCED
nm0117290|tt0181875|PRODUCED
nm0626696|tt0183649|PRODUCED
nm0001878|tt0183649|PRODUCED
nm0748784|tt0185014|PRODUCED
nm0140011|tt0186151|PRODUCED
nm0462242|tt0186151|PRODUCED
nm0002041|tt0187393|PRODUCED
nm0330428|tt0187393|PRODUCED
nm0506013|tt0187393|PRODUCED
nm0632129|tt0188350|PRODUCED
nm0398836|tt0190332|PRODUCED
nm0731570|tt0192263|PRODUCED
nm0000362|tt0195685|PRODUCED
nm0787834|tt0195685|PRODUCED
nm0792049|tt0195685|PRODUCED
nm0153893|tt0200465|PRODUCED
nm0746273|tt0200465|PRODUCED
nm0056236|tt0203009|PRODUCED
nm0114213|tt0203009|PRODUCED
nm0045927|tt0203019|PRODUCED
nm0854052|tt0203019|PRODUCED
nm0859016|tt0203119|PRODUCED
nm0891216|tt0208092|PRODUCED
nm0865189|tt0209144|PRODUCED
nm0865297|tt0209144|PRODUCED
nm0167708|tt0210628|PRODUCED
nm0000988|tt0210945|PRODUCED
nm0648288|tt0210945|PRODUCED
nm0652226|tt0211915|PRODUCED
nm0742772|tt0212338|PRODUCED
nm0193268|tt0212720|PRODUCED
nm0005086|tt0212720|PRODUCED
nm0604558|tt0213565|PRODUCED
nm0076555|tt0213847|PRODUCED
nm0005544|tt0213847|PRODUCED
nm0925524|tt0214698|PRODUCED
nm0501391|tt0214698|PRODUCED
nm0774528|tt0215750|PRODUCED
nm0005544|tt0217505|PRODUCED
nm0342090|tt0217505|PRODUCED
nm0578814|tt0217869|PRODUCED
nm0580303|tt0217869|PRODUCED
nm0002479|tt0218127|PRODUCED
nm0437451|tt0218127|PRODUCED
nm0726099|tt0218505|PRODUCED
nm0614420|tt0218839|PRODUCED
nm0250108|tt0219224|PRODUCED
nm0035917|tt0220608|PRODUCED
nm0001459|tt0221027|PRODUCED
nm0470727|tt0221027|PRODUCED
nm0720715|tt0223897|PRODUCED
nm0009222|tt0223897|PRODUCED
nm0506597|tt0223897|PRODUCED
nm0048739|tt0226771|PRODUCED
nm0100559|tt0230600|PRODUCED
nm0191109|tt0230600|PRODUCED
nm0839331|tt0230600|PRODUCED
nm0342176|tt0231844|PRODUCED
nm0044391|tt0231844|PRODUCED
nm0133763|tt0231844|PRODUCED
nm0005428|tt0234215|PRODUCED
nm0661964|tt0235376|PRODUCED
nm0182472|tt0236285|PRODUCED
nm0334926|tt0237534|PRODUCED
nm0352820|tt0237534|PRODUCED
nm0000957|tt0238380|PRODUCED
nm0287946|tt0238380|PRODUCED
nm0673944|tt0240628|PRODUCED
nm0390970|tt0241303|PRODUCED
nm0113360|tt0241303|PRODUCED
nm0325455|tt0241303|PRODUCED
nm0382268|tt0241527|PRODUCED
nm0618897|tt0242519|PRODUCED
nm0657921|tt0243017|PRODUCED
nm0808819|tt0243017|PRODUCED
nm0908323|tt0243017|PRODUCED
nm0922279|tt0243017|PRODUCED
nm0097717|tt0243664|PRODUCED
nm0259689|tt0245429|PRODUCED
nm0005124|tt0245429|PRODUCED
nm0840699|tt0245429|PRODUCED
nm0998264|tt0245574|PRODUCED
nm0322802|tt0245844|PRODUCED
nm0053388|tt0245844|PRODUCED
nm0083696|tt0245844|PRODUCED
nm0276178|tt0246578|PRODUCED
nm0433339|tt0246578|PRODUCED
nm0572014|tt0246578|PRODUCED
nm0673270|tt0247745|PRODUCED
nm0107231|tt0249462|PRODUCED
nm0278128|tt0249462|PRODUCED
nm0696611|tt0250258|PRODUCED
nm0175693|tt0250258|PRODUCED
nm0658108|tt0250440|PRODUCED
nm0209581|tt0250798|PRODUCED
nm0171348|tt0250934|PRODUCED
nm0121117|tt0251160|PRODUCED
nm0467977|tt0251160|PRODUCED
nm0071452|tt0253474|PRODUCED
nm0764963|tt0253474|PRODUCED
nm0374002|tt0254686|PRODUCED
nm0021948|tt0256009|PRODUCED
nm0622838|tt0256009|PRODUCED
nm0005573|tt0257044|PRODUCED
nm0953124|tt0257044|PRODUCED
nm0078698|tt0257360|PRODUCED
nm0321228|tt0257360|PRODUCED
nm0321621|tt0258463|PRODUCED
nm0189777|tt0258463|PRODUCED
nm0662748|tt0264464|PRODUCED
nm0088780|tt0264616|PRODUCED
nm0456946|tt0264616|PRODUCED
nm0797190|tt0264616|PRODUCED
nm0000988|tt0265086|PRODUCED
nm0578814|tt0265666|PRODUCED
nm0748784|tt0265666|PRODUCED
nm0618579|tt0266308|PRODUCED
nm2078278|tt0266308|PRODUCED
nm2184529|tt0266308|PRODUCED
nm0319391|tt0266425|PRODUCED
nm0910237|tt0266543|PRODUCED
nm0004744|tt0266697|PRODUCED
nm0008953|tt0266987|PRODUCED
nm0926824|tt0266987|PRODUCED
nm0313394|tt0267736|PRODUCED
nm0768324|tt0268126|PRODUCED
nm0001129|tt0268126|PRODUCED
nm0484504|tt0268126|PRODUCED
nm0004976|tt0268978|PRODUCED
nm0493662|tt0270288|PRODUCED
nm0556163|tt0271732|PRODUCED
nm0492994|tt0272020|PRODUCED
nm0505656|tt0272152|PRODUCED
nm0171348|tt0272152|PRODUCED
nm0330383|tt0272152|PRODUCED
nm0526917|tt0272338|PRODUCED
nm0783280|tt0272338|PRODUCED
nm0072436|tt0273656|PRODUCED
nm0072436|tt0273657|PRODUCED
nm0139893|tt0274468|PRODUCED
nm0289221|tt0274558|PRODUCED
nm0748784|tt0274558|PRODUCED
nm0556163|tt0274735|PRODUCED
nm0276404|tt0274812|PRODUCED
nm0387646|tt0274812|PRODUCED
nm0021948|tt0275491|PRODUCED
nm1192875|tt0275847|PRODUCED
nm0000134|tt0276751|PRODUCED
nm0079677|tt0276751|PRODUCED
nm0934668|tt0276919|PRODUCED
nm0380980|tt0277027|PRODUCED
nm0813414|tt0277027|PRODUCED
nm0001880|tt0277027|PRODUCED
nm0202704|tt0277434|PRODUCED
nm0568544|tt0277434|PRODUCED
nm0432625|tt0278504|PRODUCED
nm0424663|tt0278504|PRODUCED
nm0506379|tt0280707|PRODUCED
nm0224145|tt0281358|PRODUCED
nm0523324|tt0281358|PRODUCED
nm0522946|tt0283474|PRODUCED
nm1056420|tt0285627|PRODUCED
nm0111275|tt0285627|PRODUCED
nm0469955|tt0285627|PRODUCED
nm0200005|tt0285742|PRODUCED
nm0947799|tt0286112|PRODUCED
nm0506342|tt0287535|PRODUCED
nm0716135|tt0287535|PRODUCED
nm0775530|tt0287535|PRODUCED
nm0531602|tt0289043|PRODUCED
nm0279092|tt0289652|PRODUCED
nm0209569|tt0289765|PRODUCED
nm0776646|tt0289765|PRODUCED
nm0818940|tt0289879|PRODUCED
nm0070454|tt0289879|PRODUCED
nm0228690|tt0289879|PRODUCED
nm0722603|tt0289879|PRODUCED
nm0000115|tt0289992|PRODUCED
nm0795682|tt0290334|PRODUCED
nm0744384|tt0290673|PRODUCED
nm1032700|tt0292490|PRODUCED
nm2272995|tt0292963|PRODUCED
nm0148535|tt0292963|PRODUCED
nm0319501|tt0292963|PRODUCED
nm1280156|tt0292963|PRODUCED
nm0382268|tt0295297|PRODUCED
