:START_ID|:END_ID|:TYPE
nm0456732|tt0120630|WROTE
nm0123666|tt0120630|WROTE
nm0640976|tt0120630|WROTE
nm0858482|tt0120679|WROTE
nm0380419|tt0120679|WROTE
nm0797397|tt0120679|WROTE
nm1187860|tt0120679|WROTE
nm0622695|tt0120679|WROTE
nm0866058|tt0120737|WROTE
nm0909638|tt0120737|WROTE
nm0101991|tt0120737|WROTE
nm0220892|tt0120903|WROTE
nm0371684|tt0120903|WROTE
nm0636236|tt0120917|WROTE
nm0930261|tt0120917|WROTE
nm0721675|tt0120917|WROTE
nm0027459|tt0120917|WROTE
nm2320658|tt0120917|WROTE
nm0972040|tt0121164|WROTE
nm0335022|tt0121164|WROTE
nm0041864|tt0121164|WROTE
nm0003031|tt0121164|WROTE
nm0830294|tt0126029|WROTE
nm0825308|tt0126029|WROTE
nm0254645|tt0126029|WROTE
nm0744429|tt0126029|WROTE
nm0744429|tt0133240|WROTE
nm0829044|tt0133240|WROTE
nm0972395|tt0133240|WROTE
nm0254645|tt0133240|WROTE
nm0923646|tt0134847|WROTE
nm0003117|tt0134847|WROTE
nm0043742|tt0139654|WROTE
nm0254735|tt0144084|WROTE
nm0877587|tt0144084|WROTE
nm0498278|tt0145487|WROTE
nm0228492|tt0145487|WROTE
nm0462895|tt0145487|WROTE
nm0783100|tt0146309|WROTE
nm0561943|tt0146309|WROTE
nm0954546|tt0146309|WROTE
nm0394984|tt0146882|WROTE
nm0222584|tt0146882|WROTE
nm0684336|tt0146882|WROTE
nm0003298|tt0146882|WROTE
nm0292565|tt0159365|WROTE
nm0115310|tt0162222|WROTE
nm0167280|tt0162346|WROTE
nm0299301|tt0166813|WROTE
nm0524710|tt0166813|WROTE
nm0866058|tt0167260|WROTE
nm0909638|tt0167260|WROTE
nm0101991|tt0167260|WROTE
nm0866058|tt0167261|WROTE
nm0909638|tt0167261|WROTE
nm0101991|tt0167261|WROTE
nm0801728|tt0167261|WROTE
nm1021349|tt0169102|WROTE
nm1021353|tt0169102|WROTE
nm1022153|tt0169102|WROTE
nm0291905|tt0172495|WROTE
nm0517589|tt0172495|WROTE
nm0629933|tt0172495|WROTE
nm0942354|tt0180073|WROTE
nm0782968|tt0180093|WROTE
nm0723692|tt0181536|WROTE
nm0001140|tt0181689|WROTE
nm0291082|tt0181689|WROTE
nm0169509|tt0181689|WROTE
nm0601881|tt0181865|WROTE
nm0300866|tt0181865|WROTE
nm0169540|tt0183649|WROTE
nm0149290|tt0185014|WROTE
